1513067032    Linux 3.16.0-4-amd64 (worker1) 	12/12/17 	_x86_64_	(1 CPU) 
1513067033     
1513067033    02:23:52     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle 
1513067204    02:26:44     all    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   97.96 
1513067205    02:26:45     all    1.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00 
1513067206    02:26:46     all    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513067207    02:26:47     all    1.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   96.00 
1513067208    02:26:48     all    1.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.97 
1513067209    02:26:49     all    0.00    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   96.97 
1513067210    02:26:50     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513067211    02:26:51     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513067212    02:26:52     all    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97 
1513067213    02:26:53     all    0.00    0.00    1.01    2.02    0.00    0.00    0.00    0.00    0.00   96.97 
1513067214    02:26:54     all    1.98    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   96.04 
1513067215    02:26:55     all    0.00    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   98.97 
1513067216    02:26:56     all    1.98    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   96.04 
1513067217    02:26:57     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513067218    02:26:58     all    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97 
1513067219    02:26:59     all    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97 
1513067220    02:27:00     all    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98 
1513067221    02:27:01     all    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97 
1513067222    02:27:02     all    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98 
1513067223    02:27:03     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513067224    02:27:04     all    1.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.97 
1513067225    02:27:05     all    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00 
1513067226    02:27:06     all    0.00    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   98.97 
1513067227    02:27:07     all    2.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00 
1513067228    02:27:08     all    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98 
1513067229    02:27:09     all    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513067230    02:27:10     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513067231    02:27:11     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513067232    02:27:12     all    1.03    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   96.91 
1513067233    02:27:13     all    0.99    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   97.03 
1513067234    02:27:14     all    0.00    0.00    2.00    2.00    0.00    0.00    0.00    0.00    0.00   96.00 
1513067235    02:27:15     all    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97 
1513067236    02:27:16     all    0.00    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   98.97 
1513067237    02:27:17     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513067238    02:27:18     all    0.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513067239    02:27:19     all    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96 
1513067240    02:27:20     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513067241    02:27:21     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513067242    02:27:22     all    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   97.96 
1513067243    02:27:23     all    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97 
1513067244    02:27:24     all    1.02    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00   96.94 
1513067245    02:27:25     all    1.98    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   96.04 
1513067246    02:27:26     all    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98 
1513067247    02:27:27     all    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97 
1513067248    02:27:28     all    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513067249    02:27:29     all    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513067250    02:27:30     all    1.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.97 
1513067251    02:27:31     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513067252    02:27:32     all    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97 
1513067253    02:27:33     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513067254    02:27:34     all    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513067255    02:27:35     all    0.00    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   97.94 
1513067256    02:27:36     all    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513067257    02:27:37     all    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97 
1513067258    02:27:38     all    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513067259    02:27:39     all    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513067260    02:27:40     all    1.03    0.00    0.00    1.03    0.00    0.00    0.00    0.00    0.00   97.94 
1513067261    02:27:41     all    0.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
1513067262    02:27:42     all    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   97.96 
1513067263    02:27:43     all    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00 
1513067264    02:27:44     all    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   97.96 
1513067265    02:27:45     all    0.00    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   96.97 
1513067266    02:27:46     all    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98 
1513067267    02:27:47     all    0.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00 
